Wavelength (nm)	18472-87-2, Phloxine B (EtOH) SL1.5
520.00	0.0026330
521.00	0.0027428
522.00	0.0030028
523.00	0.0032847
524.00	0.0035696
525.00	0.0040707
526.00	0.0046491
527.00	0.0050913
528.00	0.0059881
529.00	0.0069082
530.00	0.0086667
531.00	0.010216
532.00	0.012091
533.00	0.014936
534.00	0.018206
535.00	0.022294
536.00	0.027415
537.00	0.034213
538.00	0.041328
539.00	0.052198
540.00	0.063193
541.00	0.078127
542.00	0.094996
543.00	0.11606
544.00	0.14122
545.00	0.17083
546.00	0.20375
547.00	0.24457
548.00	0.28839
549.00	0.33988
550.00	0.39222
551.00	0.45527
552.00	0.51674
553.00	0.58191
554.00	0.64852
555.00	0.71196
556.00	0.77258
557.00	0.83014
558.00	0.87673
559.00	0.91940
560.00	0.95098
561.00	0.97733
562.00	0.99110
563.00	0.99941
564.00	1.00000
565.00	0.99289
566.00	0.97216
567.00	0.95252
568.00	0.92666
569.00	0.89889
570.00	0.86786
571.00	0.83682
572.00	0.80082
573.00	0.76868
574.00	0.73289
575.00	0.69768
576.00	0.66639
577.00	0.63378
578.00	0.60340
579.00	0.57248
580.00	0.54677
581.00	0.51762
582.00	0.49259
583.00	0.46723
584.00	0.44603
585.00	0.42208
586.00	0.40215
587.00	0.38329
588.00	0.36571
589.00	0.34794
590.00	0.33550
591.00	0.32131
592.00	0.31011
593.00	0.29819
594.00	0.29035
595.00	0.28173
596.00	0.27396
597.00	0.26846
598.00	0.26311
599.00	0.25944
600.00	0.25681
601.00	0.25272
602.00	0.25293
603.00	0.25160
604.00	0.24990
605.00	0.25138
606.00	0.25052
607.00	0.24925
608.00	0.24810
609.00	0.24653
610.00	0.24635
611.00	0.24454
612.00	0.23908
613.00	0.23843
614.00	0.23379
615.00	0.22943
616.00	0.22480
617.00	0.21895
618.00	0.21440
619.00	0.20538
620.00	0.20047
621.00	0.19268
622.00	0.18638
623.00	0.17994
624.00	0.17336
625.00	0.16601
626.00	0.15895
627.00	0.15291
628.00	0.14492
629.00	0.13905
630.00	0.13265
631.00	0.12704
632.00	0.12115
633.00	0.11522
634.00	0.11092
635.00	0.10423
636.00	0.10050
637.00	0.096572
638.00	0.091498
639.00	0.087653
640.00	0.083433
641.00	0.080684
642.00	0.077447
643.00	0.073833
644.00	0.070537
645.00	0.067190
646.00	0.065221
647.00	0.061774
648.00	0.059388
649.00	0.057956
650.00	0.054940
651.00	0.053549
652.00	0.051677
653.00	0.049125
654.00	0.048144
655.00	0.047280
656.00	0.044319
657.00	0.044377
658.00	0.043008
659.00	0.041593
660.00	0.040168
661.00	0.040049
662.00	0.038426
663.00	0.038102
664.00	0.037202
665.00	0.036243
666.00	0.035499
667.00	0.034809
668.00	0.033785
669.00	0.033992
670.00	0.033769
671.00	0.032691
672.00	0.031143
673.00	0.032391
674.00	0.030720
675.00	0.029898
676.00	0.029252
677.00	0.027975
678.00	0.027441
679.00	0.026973
680.00	0.026668
681.00	0.026129
682.00	0.025495
683.00	0.024331
684.00	0.023624
685.00	0.023229
686.00	0.022515
687.00	0.021927
688.00	0.020599
689.00	0.020715
690.00	0.020074
691.00	0.019293
692.00	0.018777
693.00	0.018574
694.00	0.017951
695.00	0.017310
696.00	0.016400
697.00	0.015467
698.00	0.015604
699.00	0.014774
700.00	0.014211
701.00	0.013607
702.00	0.013431
703.00	0.013081
704.00	0.012829
705.00	0.011981
706.00	0.011505
707.00	0.011799
708.00	0.011447
709.00	0.010770
710.00	0.010642
711.00	0.010162
712.00	0.0097943
713.00	0.0095728
714.00	0.0088779
715.00	0.0090226
716.00	0.0088800
717.00	0.0083386
718.00	0.0085705
719.00	0.0081293
720.00	0.0081377
721.00	0.0077521
722.00	0.0077394
723.00	0.0078647
724.00	0.0071148
725.00	0.0073290
726.00	0.0072270
727.00	0.0061981
728.00	0.0064979
729.00	0.0067962
730.00	0.0063185
